dataset,field_id,type,description,coverage,alphaCount,userCount,score
option8,historical_volatility_120,MATRIX,Historical close-to-close volatility for approximately 120 calendar days,0.98,4457,2161,111.0335
option8,historical_volatility_180,MATRIX,Historical close-to-close volatility for approximately 180 calendar days,0.9796,4665,2130,110.94250000000001
option8,implied_volatility_call_30,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 30 calendar days from the measurement date,0.9729,4991,2229,110.9305
option8,implied_volatility_mean_120,MATRIX,The average of IvCall120 and IvPut120,0.9688,3884,2371,110.67699999999999
option8,implied_volatility_call_360,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 360 calendar days from the measurement date,0.9729,4172,2086,109.80599999999998
option8,implied_volatility_put_90,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 90 calendar days from the measurement date,0.9727,4386,2038,109.65299999999999
model51,unsystematic_risk_last_90_days,MATRIX,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 90 calendar days",0.9619,4631,2229,109.6505
socialmedia12,scl12_sentiment,MATRIX,sentiment,1.0,3711,1544,109.5755
pv13,pv13_reveremap,MATRIX,Mapping data,0.9924,3877,1678,109.5685
analyst4,anl4_qf_az_eps_number,MATRIX,Earnings per share - number of estimations,0.7848,11515,5059,109.53250000000001
option8,implied_volatility_call_90,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 90 calendar days from the measurement date,0.9729,4703,1946,109.3715
option9,pcr_oi_180,MATRIX,"Ratio of total put option open interest to call option open interest for options expiring in 180 days, representing longer-term positioning",0.9838,2918,1860,109.139
analyst4,sales_estimate_count,MATRIX,Sales - number of estimations,1.0,2007,1529,108.6485
option8,implied_volatility_put_30,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 30 calendar days from the measurement date,0.9727,3952,1819,108.341
analyst4,sales_estimate_count_quarterly,MATRIX,Sales - number of estimations,1.0,1858,1433,108.09400000000001
option8,implied_volatility_call_720,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 720 calendar days from the measurement date,0.9729,3483,1796,108.0115
analyst4,est_eps,MATRIX,Earnings per share - mean of estimations,0.7848,8920,5000,107.94
analyst4,max_adjusted_net_income_guidance,MATRIX,The maximum guidance value for Adjusted net income.,1.0,1665,1342,107.54249999999999
option8,implied_volatility_put_360,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 360 calendar days from the measurement date,0.9727,3154,1654,107.11699999999999
option8,parkinson_volatility_180,MATRIX,Historical Parkinson volatility for approximately 180 calendar days,0.9796,3015,1502,106.9775
analyst4,anl4_capex_flag,MATRIX,Capital Expenditures - forecast type (revision/new/...),0.8506,7258,3633,106.85400000000001
option8,implied_volatility_put_720,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 720 calendar days from the measurement date,0.9727,2618,1594,106.54899999999999
socialmedia12,snt_value,MATRIX,"Negative sentiment score/indicator for current day, with missing values filled as 0",1.0,2758,1025,106.504
pv13,pv13_revere_key_sector_total,MATRIX,Number of key focus sectors for the company,0.9334,4055,2209,106.41250000000001
pv13,rel_ret_all,MATRIX,Averaged one-day return of the companies whose product overlapped with the instrument,0.9613,3001,1692,106.09050000000002
analyst4,anl4_cfi_flag,MATRIX,Cash Flow From Investing - forecast type (revision/new/...),0.8287,5427,4035,105.7585
option8,implied_volatility_mean_180,MATRIX,The average of IvCall180 and IvPut180,0.9688,2547,1515,105.7285
analyst4,anl4_qfv4_eps_number,MATRIX,Earnings per share - number of estimations,1.0,1289,993,105.6095
option8,historical_volatility_10,MATRIX,Historical close-to-close volatility for approximately 10 calendar days,0.9808,2737,1200,105.4485
option8,implied_volatility_put_10,MATRIX,"At-the-money implied volatility of put options with 10 calendar days to expiration, annualized decimal",0.9727,2936,1337,105.423
option9,call_breakeven_10,MATRIX,"Price at which a stock's call options with expiration 10 days in the future break even based on its recent bid/ask mean, weighted by open interest or volume",0.9824,2516,1181,105.403
option8,historical_volatility_60,MATRIX,Historical close-to-close volatility for approximately 60 calendar days,0.9805,2715,1186,105.3375
analyst4,anl4_epsr_value,MATRIX,GAAP Earnings per share - announced financial value,0.9904,1864,1010,105.02199999999999
option8,implied_volatility_put_1080,MATRIX,"At-the-money implied volatility of put options with 1080 calendar days to expiration, annualized decimal",0.9727,2387,1297,104.9485
option9,call_breakeven_20,MATRIX,"Open-interest-weighted average breakeven price of call options expiring in 20 days, representing the price at which call buyers break even",0.9824,1821,1152,104.91050000000001
news12,news_pe_ratio,MATRIX,Reported price-to-earnings ratio for the calendar day of the session,0.9662,2977,1341,104.81349999999999
option8,implied_volatility_call_20,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 20 calendar days from the measurement date,0.9729,2371,1194,104.4455
option8,historical_volatility_150,MATRIX,Historical close-to-close volatility for approximately 150 calendar days,0.9798,2362,1050,104.411
analyst4,anl4_cfo_flag,MATRIX,Cash Flow From Operations - forecast type (revision/new/...),0.8269,5022,3800,104.201
option9,pcr_oi_150,MATRIX,"Ratio of total put option open interest to total call option open interest for options expiring in 150 days, indicating longer-term put-call positioning",0.9838,1515,980,104.0375
analyst4,anl4_afv4_eps_high,MATRIX,Earnings per share - The highest estimation,1.0,1020,694,103.98
analyst4,anl4_afv4_eps_mean,MATRIX,Earnings per share - mean of estimations for annual frequency,1.0,1313,662,103.9665
analyst4,earnings_per_share_estimate_count,MATRIX,Earnings per share - number of estimations,1.0,868,696,103.914
option8,implied_volatility_mean_90,MATRIX,The average of IvCall90 and IvPut90,0.9688,1966,1190,103.813
option8,implied_volatility_mean_150,MATRIX,The average of IvCall150 and IvPut150,0.9688,2070,1177,103.8
option8,historical_volatility_30,MATRIX,Historical close-to-close volatility for approximately 30 calendar days,0.9807,1864,940,103.70200000000001
option8,historical_volatility_90,MATRIX,Historical close-to-close volatility for approximately 90 calendar days,0.9803,2047,927,103.6885
option8,parkinson_volatility_90,MATRIX,Historical volatility using the Parkinson high–low estimator over approximately the past 90 calendar days,0.9803,1901,934,103.65050000000001
news12,news_tot_ticks,MATRIX,Total number of ticks during the trading day,0.9691,2608,1082,103.624
analyst4,anl4_netprofit_value,MATRIX,Net profit- announced financial value,1.0,1584,558,103.58200000000001
option8,implied_volatility_mean_60,MATRIX,The average of IvCall60 and IvPut60,0.9688,1863,1152,103.5715
analyst4,reporting_currency_code_9,MATRIX,Home currency of instrument,1.0,779,594,103.3595
option8,historical_volatility_20,MATRIX,Historical close-to-close volatility for approximately 20 calendar days,0.9807,1774,880,103.35700000000001
analyst4,anl4_af_eps_value,MATRIX,Earnings Per Share - Actual Value,0.9956,824,665,103.29700000000001
analyst4,anl4_ebitda_flag,MATRIX,"Earnings before interest, taxes, depreciation and amortization - forecast type (revision/new/...)",0.8633,4464,2944,103.282
model51,correlation_last_60_days_spy,MATRIX,"The Pearson correlation coefficient of daily log returns between the security and SPY, calculated over the most recent 60 calendar days",0.9752,1692,949,103.111
model51,systematic_risk_last_90_days,MATRIX,"The portion of the security’s return variance attributed to systematic (market) risk, quantified as R² from a regression on SPY, over the last 90 calendar days",0.9619,2113,1163,103.0615
analyst4,anl4_fcf_flag,MATRIX,Free cash flow - forecast type (revision/new/...),0.859,4228,2993,102.97900000000001
option9,pcr_oi_120,MATRIX,"Ratio of total put option open interest to total call option open interest for options expiring in 120 days, indicating longer-term put-call positioning",0.9838,1877,723,102.9335
