dataset,field_id,type,description,coverage,alphaCount,userCount
news18,nws18_ghc_lna,VECTOR,Change in analyst recommendation,0.903,1454,558
news18,nws18_nip,VECTOR,"Narrative impact score in [-1, 1] estimating the news item’s short-term market impact (e.g., next two hours)",0.903,1264,330
news18,nws18_qcm,VECTOR,News sentiment of relevant news with high confidence,1.0,678,299
news18,nws18_qep,VECTOR,"Equities sentiment polarity score derived from positive/negative words in news (typically -1, 0, +1)",1.0,985,298
news18,nws18_qep_fast_d1,VECTOR,"Equities sentiment polarity score derived from positive/negative words in news (typically -1, 0, +1)",0.8633,0,0
news18,nws18_qmb,VECTOR,"Editorials and commentary score indicating stance or sentiment (-1, 0, +1)",1.0,482,165
news18,nws18_qmb_fast_d1,VECTOR,"Editorials and commentary score indicating stance or sentiment (-1, 0, +1)",1.0,3,1
news18,nws18_relevance,VECTOR,Score from 0 to 100 indicating how strongly the entity is related to the story higher is more relevant,1.0,681,282
news18,nws18_relevance_fast_d1,VECTOR,Score from 0 to 100 indicating how strongly the entity is related to the story higher is more relevant,0.8633,10,7
news18,nws18_ssc,VECTOR,"Granular sentiment score from -1.00 to +1.00 for the story, combining multiple sentiment analysis techniques",1.0,740,327
news18,nws18_ssc_fast_d1,VECTOR,"Granular sentiment score from -1.00 to +1.00 for the story, combining multiple sentiment analysis techniques",0.8633,1,1
news18,nws18_sse,VECTOR,Continuous sentiment score between -1.00 and +1.00 for the entity-event,0.8999,386,149
news18,reporting_period_end_date_utc,VECTOR,The UTC date marking the end of the reporting period for the event.,0.9986,4,3
news18,reporting_period_end_date_utc_fast_d1,VECTOR,The UTC date marking the end of the reporting period for the event.,0.9983,2,1
news18,reporting_period_end_time_utc,VECTOR,The UTC timestamp marking the end of the reporting period for the event.,0.9986,17,13
news18,reporting_period_end_time_utc_fast_d1,VECTOR,The UTC timestamp marking the end of the reporting period for the event.,0.9983,32,27
news18,reporting_period_start_date_utc,VECTOR,The UTC date marking the beginning of the reporting period for the event.,0.8895,13,8
news18,reporting_period_start_time_utc,VECTOR,The UTC timestamp marking the beginning of the reporting period for the event.,0.9986,17,15
news18,reporting_period_start_time_utc_fast_d1,VECTOR,The UTC timestamp marking the beginning of the reporting period for the event.,0.9983,23,14
news18,rp_css_assets,MATRIX,Composite sentiment score of assets news,0.5,1079,551
news18,rp_css_business,MATRIX,Composite sentiment score of business-related news,0.5,3565,1171
news18,rp_css_credit,MATRIX,Composite sentiment score of credit news,0.5,330,185
news18,rp_css_credit_ratings,MATRIX,Composite sentiment score of credit ratings news,0.5,1270,350
news18,rp_css_dividends,MATRIX,Composite sentiment score of dividends news,0.5,203,93
news18,rp_css_earnings,MATRIX,Composite sentiment score of earnings news,0.5,1769,806
news18,rp_css_equity,MATRIX,Composite sentiment score of equity action news,0.5,966,386
news18,rp_css_insider,MATRIX,Composite sentiment score of insider trading news,0.5,588,273
news18,rp_css_inverstor,MATRIX,Composite sentiment score of investor relations news,0.5,1795,698
news18,rp_css_labor,MATRIX,Composite sentiment score of labor issues news,0.5,461,224
news18,rp_css_legal,MATRIX,Composite sentiment score of legal news,0.5,305,189
news18,rp_css_marketing,MATRIX,Composite sentiment score of marketing news,0.5,566,202
news18,rp_css_mna,MATRIX,Composite sentiment score of mergers and acquisitions-related news,0.5,595,242
news18,rp_css_partner,MATRIX,Composite sentiment score of partnership news,0.5,910,505
news18,rp_css_price,MATRIX,Composite sentiment score of stock price news,0.5,1270,654
news18,rp_css_product,MATRIX,Composite sentiment score of product and service-related news,0.5,796,434
news18,rp_css_ptg,MATRIX,Composite sentiment score of price target news,0.5,882,510
news18,rp_css_ratings,MATRIX,Composite sentiment score of analyst ratings-related news,0.5,2068,1107
news18,rp_css_revenue,MATRIX,Composite sentiment score of revenue news,0.5,1214,611
news18,rp_css_society,MATRIX,Composite sentiment score of society-related news,0.5,158,106
news18,rp_css_technical,MATRIX,Composite sentiment score based on technical analysis,0.5,347,264
news18,rp_ess_assets,MATRIX,Event sentiment score of assets news,0.5,710,468
news18,rp_ess_business,MATRIX,Event sentiment score of business-related news,0.5,917,305
news18,rp_ess_credit,MATRIX,Event sentiment score of credit news,0.5,184,124
news18,rp_ess_credit_ratings,MATRIX,Event sentiment score of credit ratings news,0.5,279,214
news18,rp_ess_dividends,MATRIX,Event sentiment score of dividends news,0.5,121,74
news18,rp_ess_earnings,MATRIX,Event sentiment score of earnings news,0.5,1571,686
news18,rp_ess_equity,MATRIX,Event sentiment score of equity action news,0.5,634,361
news18,rp_ess_insider,MATRIX,Event sentiment score of insider trading news,0.5,565,299
news18,rp_ess_labor,MATRIX,Event sentiment score of labor issues news,0.5,417,216
news18,rp_ess_legal,MATRIX,Event sentiment score of legal news,0.5,584,427
news18,rp_ess_mna,MATRIX,Event sentiment score of mergers and acquisitions-related news,0.5,1244,604
news18,rp_ess_partner,MATRIX,Event sentiment score of partnership news,0.5,1720,787
news18,rp_ess_price,MATRIX,Event sentiment score of stock price news,0.5,1095,535
news18,rp_ess_product,MATRIX,Event sentiment score of product and service-related news,0.5,1152,680
news18,rp_ess_ptg,MATRIX,Event sentiment score of price target news,0.5,361,226
news18,rp_ess_ratings,MATRIX,Event sentiment score of analyst ratings-related news,0.5,2010,1011
news18,rp_ess_revenue,MATRIX,Event sentiment score of revenue news,0.5,817,462
news18,rp_ess_society,MATRIX,Event sentiment score of society-related news,0.5,228,136
news18,rp_ess_technical,MATRIX,Event sentiment score based on technical analysis,0.5,296,217
news18,rp_nip_assets,MATRIX,News impact projection of assets news,0.5,883,475
news18,rp_nip_business,MATRIX,News impact projection of business-related news,0.5,1143,382
news18,rp_nip_credit,MATRIX,News impact projection of credit news,0.5,474,281
news18,rp_nip_credit_ratings,MATRIX,News impact projection of credit ratings news,0.5,148,72
news18,rp_nip_dividends,MATRIX,News impact projection of dividends news,0.5,156,85
news18,rp_nip_earnings,MATRIX,News impact projection of earnings news,0.5,1216,497
news18,rp_nip_equity,MATRIX,News impact projection of equity action news,0.5,831,378
news18,rp_nip_insider,MATRIX,News impact projection of insider trading news,0.5,716,333
news18,rp_nip_inverstor,MATRIX,News impact projection of investor relations news,0.5,2296,803
news18,rp_nip_labor,MATRIX,News impact projection of labor issues news,0.5,319,138
news18,rp_nip_legal,MATRIX,News impact projection of legal news,0.5,194,99
news18,rp_nip_marketing,MATRIX,News impact projection of marketing news,0.5,491,141
news18,rp_nip_mna,MATRIX,News impact projection of mergers and acquisitions-related news,0.5,483,212
news18,rp_nip_partner,MATRIX,News impact projection of partnership news,0.5,405,207
news18,rp_nip_price,MATRIX,News impact projection of stock price news,0.5,684,338
news18,rp_nip_product,MATRIX,News impact projection of product and service-related news,0.5,875,425
news18,rp_nip_ptg,MATRIX,News impact projection of price target news,0.5,485,280
news18,rp_nip_ratings,MATRIX,News impact projection of analyst ratings-related news,0.5,1926,1108
news18,rp_nip_revenue,MATRIX,News impact projection of revenue news,0.5,658,362
news18,rp_nip_society,MATRIX,News impact projection of society-related news,0.5,158,75
news18,rp_nip_technical,MATRIX,News impact projection based on technical analysis,0.5,155,69
news18,story_event_record_count,VECTOR,The total number of event records published for a news story.,0.903,3,3
news18,story_event_record_count_fast_d1,VECTOR,The total number of event records published for a news story.,1.0,4,3
